Text,Author,Tags
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile"
“Life is what happens to us while we are making other plans.”,Allen Saunders,"fate, life, misattributed-john-lennon, planning, plans"
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music
“It is never too late to be what you might have been.”,George Eliot,inspirational
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,love
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"inspirational, life, yourself"
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,troubles
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"books, classic, reading"
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"christianity, faith, religion, sun"
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"books, mind"
