username,rating,sentiment,date,review,clean_review
舞風（Maikaze）,1,Negative,2026-04-19 00:23:55,pota wala makuha,pota wala makuha
Sozhan Vithya,5,Positive,2026-04-19 00:16:51,good 👍,good
Radio Kamek,1,Negative,2026-04-18 23:21:12,rider purposely cancel your booking when they knew price has increased. even though your booking is confirm and you have waited more than 10 minutes. part of legal scam. i wish i can blacklist or give 1 star to this type of rider,rider purposely cancel booking knew price increased even though booking confirm waited minute part legal scam wish blacklist give star type rider
Kidwell Serongwane,5,Positive,2026-04-18 23:01:38,Brilliant...,brilliant
Yu Shi,1,Negative,2026-04-18 22:43:38,selalu bintang 1,selalu bintang
Justine Sandoval,5,Positive,2026-04-18 22:36:20,Best Driver ever,best driver ever
Jericho Majait,5,Positive,2026-04-18 22:30:10,nice,nice
Ani Romdayani,5,Positive,2026-04-18 22:16:06,Thank you for helping all people can drop or pickup also the efficiency cost transportation. Many thinks I can't describe it here but the key is THANKS!,thank helping people drop pickup efficiency cost transportation many think cant describe key thanks
Влад Обухов,1,Negative,2026-04-18 22:06:15,"Wonderful app. Your order can take 3 or 4 hours. You can even go to sleep. But cancel the order? ""No! Are you crazy?""",wonderful order take hour even sleep cancel order crazy
Vladislav Obukhov,1,Negative,2026-04-18 22:03:49,"I used the Grab app in Phuket. The inability to cancel an order when it hasn’t even been prepared yet is just wonderful. The delivery time keeps getting pushed back indefinitely. And of course, if you need change, there is a 95% chance you will not get it because they ""no have"".",used phuket inability cancel order hasnt even prepared yet wonderful delivery time keep getting pushed back indefinitely course need change chance
Yu Mon,5,Positive,2026-04-18 22:00:15,ဖွင့်လို့မရဘူး,
Akira Benjamin,1,Negative,2026-04-18 21:41:26,I paid for choco lava cake for 105 pesos to dominos pizza but they delivered a crinkle with a little sprinkle of milk powder and I tried to complain for the inconvenice but instead they gave me unattentive number they just gave me useless number of store and they claim that they resolve my problem what the... we order food to grab every cut off to satisfy our craving and this is how they resolve our issue,paid choco lava cake peso domino pizza delivered crinkle little sprinkle milk powder tried complain inconvenice instead gave unattentive number gave useless number store claim resolve problem order food every cut satisfy craving resolve issue
Erik Aguirre,1,Negative,2026-04-18 21:19:49,nonsense grab support,nonsense support
Tawfiq Lim,1,Negative,2026-04-18 21:08:32,"suda 3 tahun guna grab, paylater xpernah dpt. org yg xkerja dapat limit ribu, bg paylater baru tukar rating",suda tahun guna paylater xpernah dpt org xkerja dapat limit ribu paylater baru tukar rating
Jahan Felipe,1,Negative,2026-04-18 20:26:54,"It is more expensive, no free delivery when you have a premium subscription, slow on the internet, and complicated to use. Better use Foodpanda and see the greatness of it.",expensive free delivery premium subscription slow internet complicated better foodpanda see greatness
Khyle Vhanderjhek,2,Negative,2026-04-18 19:48:55,"most of the food delivery drivers are not committed to their job. imagine, everytime na mgaapadeliver ako ng food puro cancellations na lang ginagawa nila. Medyo malayo raw, kung tutuusijn di naman siya ganun kalayo. Namimili sila kostumer nila.",food delivery driver committed job imagine everytime mgaapadeliver ako food puro cancellation lang ginagawa nila medyo malayo raw kung tutuusijn naman siya ganun kalayo namimili sila kostumer nila
Elliot Lea,5,Positive,2026-04-18 19:43:30,great app!,great
tiara diva,3,Neutral,2026-04-18 19:40:55,sekarang ongkir grabfoodnya mahal banget. trus fitur yang bisa pakai multiple voucher tapi cuma beberapa voucher aja yg bisa. vouchernya juga udah ngga sebanyak dulu,sekarang ongkir grabfoodnya mahal banget trus fitur yang bisa pakai multiple voucher tapi cuma beberapa voucher aja bisa vouchernya juga udah ngga sebanyak dulu
Kim Yeo,5,Positive,2026-04-18 19:35:45,Very helpful when overseas,helpful overseas
Andi Channel,1,Negative,2026-04-18 19:14:04,driver lambattttttttt,driver lambattttttttt
Phing Phing,1,Negative,2026-04-18 18:39:20,"ngapain sih pake gambar gambar AI, saya stop pake grab sejak liat gambar2nya. tolong diperbaiki",ngapain sih pake gambar gambar saya stop pake sejak liat gambarnya tolong diperbaiki
Syeda iramdaniyal Syeda iramdaniyal,5,Positive,2026-04-18 17:03:57,good app,good
Wina KakaAmoy,5,Positive,2026-04-18 17:02:44,very good,good
